"","addr_pct_cd","freq"
"1","1",72
"2","10",79
"3","100",31
"4","101",59
"5","102",102
"6","103",118
"7","104",102
"8","105",142
"9","106",111
"10","107",99
"11","108",129
"12","109",199
"13","110",268
"14","111",81
"15","112",87
"16","113",129
"17","114",172
"18","115",223
"19","120",117
"20","121",131
"21","122",119
"22","123",72
"23","13",61
"24","14",82
"25","17",67
"26","18",80
"27","19",135
"28","20",67
"29","22",3
"30","23",87
"31","24",57
"32","25",59
"33","26",38
"34","28",45
"35","30",59
"36","32",74
"37","33",56
"38","34",116
"39","40",97
"40","41",84
"41","42",96
"42","43",149
"43","44",196
"44","45",98
"45","46",109
"46","47",174
"47","48",119
"48","49",120
"49","5",66
"50","50",96
"51","52",132
"52","6",59
"53","60",88
"54","61",102
"55","62",159
"56","63",85
"57","66",96
"58","67",168
"59","68",100
"60","69",53
"61","7",58
"62","70",120
"63","71",107
"64","72",121
"65","73",113
"66","75",244
"67","76",37
"68","77",101
"69","78",53
"70","79",84
"71","81",75
"72","83",103
"73","84",53
"74","88",49
"75","9",73
"76","90",87
"77","94",57
"78",NA,1
